COD_PROG_CURRICULAR,PROG_CURRICULAR,SNIES
094,ESPECIALIDAD EN CIRUGÍA ORAL Y MAXILOFACIAL,16946
095,ESPECIALIDAD EN CIRUGÍA PEDIÁTRICA,39
231,DOCTORADO EN SALUD PÚBLICA,19899
236,MAESTRÍA EN GEOMÁTICA,19930
251,MAESTRÍA EN CIENCIAS - MATEMÁTICA APLICADA,20487
251,MAESTRÍA EN CIENCIAS - MATEMÁTICA APLICADA,106676
251,MAESTRÍA EN CIENCIAS - MATEMÁTICA APLICADA,55139
248,ESPECIALIZACIÓN EN MUSICOTERAPIA,21557
240,ESPECIALIZACIÓN EN ANÁLISIS DE POLÍTICAS PÚBLICAS,21563
247,MAESTRÍA EN ESTUDIOS LITERARIOS,21556
249,ESPECIALIZACIÓN EN TERAPIA MIOFUNCIONAL Y DISFAGIA,21559
253,MAESTRÍA EN EPIDEMIOLOGÍA CLÍNICA,21560
255,ESPECIALIZACIÓN EN CALIDAD DE LA ENERGÍA,51677
256,ESPECIALIZACIÓN EN ILUMINACIÓN PÚBLICA Y PRIVADA,51682
257,ESPECIALIZACIÓN EN INGENIERÍA ELÉCTRICA - ELECTRÓNICA,51684
258,ESPECIALIZACIÓN EN INGENIERÍA - CONTROL,51683
280,DOCTORADO EN INGENIERÍA - CIENCIA Y TECNOLOGÍA DE MATERIALES,53272
280,DOCTORADO EN INGENIERÍA - CIENCIA Y TECNOLOGÍA DE MATERIALES,52751
262,ESPECIALIZACIÓN EN GESTIÓN Y GERENCIA DE PROYECTOS AGROPECUARIOS,51681
263,ESPECIALIDAD EN GERIATRÍA,21562
265,MAESTRÍA EN ESTUDIOS CULTURALES,51686
268,ESPECIALIZACIÓN EN ESCRITURAS CREATIVAS,51679
269,DOCTORADO EN INGENIERÍA - GEOTECNIA,51675
POS,PROGRAMA CURSOS EN POSGRADO,0
275,ESPECIALIZACIÓN EN CULTIVOS PERENNES INDUSTRIALES,52730
050,INGENIERÍA MECATRÓNICA,108086
050,INGENIERÍA MECATRÓNICA,16939
PEL,PROGRAMA ELECTIVAS,0
002,PSICOLOGÍA,14
003,MATEMÁTICAS,35
003,MATEMÁTICAS,129
003,MATEMÁTICAS,16916
005,BIOLOGÍA,108081
005,BIOLOGÍA,0
005,BIOLOGÍA,31
006,CONTADURIA PÚBLICA,16895
339,MAESTRÍA EN POLÍTICAS PÚBLICAS,55022
007,ESTADÍSTICA,32
007,ESTADÍSTICA,16920
007,ESTADÍSTICA,108082
007,ESTADÍSTICA,116559
008,FILOSOFÍA,20
009,GEOLOGÍA,34
010,MEDICINA,9
011,NUTRICIÓN Y DIETÉTICA,10
012,ENFERMERÍA,7
013,FONOAUDIOLOGÍA,3102
014,INGENIERÍA CIVIL,117
014,INGENIERÍA CIVIL,4121
014,INGENIERÍA CIVIL,25
