CODIGO_INTERNO,COD_DEPTO_PROCEDENCIA,COD_MUN_PROCEDENCIA,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,ESTRATO,COD_COLEGIO,MODACADEMICA,ANO_TERMINACION_COLEGIO,PBM_CALCULADO,PBM_COLEGIO,PBM_ASIGNADO,PUNTAJE_ADMISION,CONVOCATORIA,APERTURA,COD_ACCESO,COD_SUBACCESO,NODO_INICIO,COD_PLAN,HIST_ACADEMICA
643841,5,1,5,1,5,001073,No oficial,2024,,,,"765,061",2025-2S,2025-2S,1,1,2,2552,6248
643843,5,1,5,1,5,000760,No oficial,2024,,,,"737,884",2025-2S,2025-2S,1,1,2,2552,6249
641035,5,1,5,1,3,000059,Oficial,2023,,,,"634,447",2025-2S,2025-2S,1,1,2,3534,1878
641039,5,1,5,1,3,001115,No oficial,2024,,,,"765,421",2025-2S,2025-2S,1,1,2,3534,1879
641045,5,1,5,1,4,000836,No oficial,2024,,,,"671,005",2025-2S,2025-2S,1,1,2,3534,1880
641049,5,1,5,1,3,101824,Oficial,2024,,,,"591,512",2025-2S,2025-2S,1,1,2,3534,1881
641059,5,1,5,1,3,001040,Oficial,2024,,,,"634,932",2025-2S,2025-2S,1,1,2,3534,1882
640736,5,1,5,1,3,117473,Oficial,2024,,,,"716,396",2025-2S,2025-2S,1,1,2,3534,1852
640741,5,1,5,1,3,113753,Oficial,2024,,,,"644,727",2025-2S,2025-2S,1,1,2,3534,1853
640749,5,1,5,1,3,129106,Oficial,2024,,,,"603,188",2025-2S,2025-2S,1,24,2,3534,1854
641093,5,1,5,1,2,001073,No oficial,2024,,,,"621,421",2025-2S,2025-2S,1,1,2,3534,1884
641098,5,1,5,1,3,000687,Oficial,2024,,,,"591,914",2025-2S,2025-2S,1,1,2,3534,1885
